Retrospective,Naive Bayes,Decision Tree,Logistic Regression,Random Forest,K-Nearest Neighbors,Neural Network
10,0.4952015355086372,0.7063339731285988,0.54510556621881,0.781190019193858,0.7024952015355086,0.6372360844529751
20,0.5076923076923077,0.7480769230769231,0.5461538461538461,0.8615384615384616,0.7442307692307693,0.6884615384615385
30,0.525096525096525,0.8011583011583011,0.5328185328185329,0.8803088803088803,0.749034749034749,0.693050193050193
40,0.5212355212355212,0.8166023166023166,0.5675675675675675,0.8803088803088803,0.7258687258687259,0.7200772200772201
50,0.5310077519379846,0.8042635658914729,0.5736434108527132,0.8837209302325582,0.7131782945736435,0.7093023255813954
60,0.5495145631067961,0.8504854368932039,0.5611650485436893,0.9106796116504854,0.7786407766990291,0.7145631067961165
70,0.570873786407767,0.8466019417475729,0.5883495145631068,0.9106796116504854,0.7747572815533981,0.7786407766990291
80,0.5486381322957199,0.8754863813229572,0.5778210116731517,0.9221789883268483,0.7879377431906615,0.811284046692607
90,0.55078125,0.83203125,0.56640625,0.888671875,0.7734375,0.802734375
100,0.5333333333333333,0.8509803921568627,0.5901960784313726,0.9098039215686274,0.792156862745098,0.7823529411764706
110,0.5638506876227898,0.8644400785854617,0.5717092337917485,0.931237721021611,0.7721021611001965,0.8113948919449901
120,0.5658153241650294,0.8840864440078585,0.5795677799607073,0.9174852652259332,0.7603143418467584,0.7956777996070727
130,0.618860510805501,0.8978388998035364,0.6463654223968566,0.9292730844793713,0.7976424361493124,0.8290766208251473
140,0.6003937007874016,0.860236220472441,0.6023622047244095,0.9133858267716536,0.7913385826771654,0.7696850393700787
150,0.6134122287968442,0.9013806706114399,0.6390532544378699,0.9289940828402367,0.7909270216962525,0.814595660749507
160,0.596039603960396,0.906930693069307,0.6316831683168317,0.9366336633663367,0.8158415841584158,0.8178217821782178
170,0.6063618290258449,0.9403578528827038,0.6341948310139165,0.9463220675944334,0.8170974155069582,0.8031809145129225
180,0.6341948310139165,0.9224652087475149,0.6560636182902585,0.9502982107355865,0.7952286282306164,0.8369781312127237
190,0.6227544910179641,0.9161676646706587,0.6646706586826348,0.9421157684630739,0.8043912175648703,0.812375249500998
200,0.656,0.892,0.662,0.932,0.806,0.818
210,0.674,0.918,0.672,0.944,0.786,0.816
220,0.6332665330661322,0.8877755511022044,0.6492985971943888,0.9278557114228457,0.7955911823647295,0.8216432865731463
230,0.6619718309859155,0.8913480885311871,0.6881287726358148,0.9356136820925554,0.8430583501006036,0.8309859154929577
240,0.6370967741935484,0.9314516129032258,0.6774193548387096,0.9516129032258065,0.8346774193548387,0.8467741935483871
